"state_name","race_grp","pop_share_agg","pop_weighted"
"Florida","Other",0.00908234815992352,21998.0487344528
"Florida","American Indian or Alaska Native",0.00192953346215318,4758.80398245105
"Florida","Native Hawaiian or Other Pacific Islander",0.000422876611882024,1043.97783423239
"Idaho","White",0.879254146601909,154368.933079434
"Idaho","Hispanic",0.0802338276658204,15930.252163599
"Idaho","Other",0.0166011936516305,3181.96894312909
"Idaho","Asian",0.011711446083447,2266.77274997837
"Idaho","Native Hawaiian or Other Pacific Islander",0.000412424439483833,91.1644157892488
"Idaho","American Indian or Alaska Native",0.00893185534172144,1627.66611440569
"Idaho","Black",0.00285510621598747,605.469887622567
"Illinois","White",0.665821703588089,3455890.9158965
"Illinois","Asian",0.0553378061693749,325332.476987071
"Illinois","Other",0.0124579540737704,86755.668522737
"Illinois","Black",0.128849229709525,738977.345791773
"Illinois","Hispanic",0.136566090840377,905726.037
"Illinois","American Indian or Alaska Native",0.000776729354367842,4675.37256699471
"Illinois","Native Hawaiian or Other Pacific Islander",0.000190486264494966,1395.16223492784
"Indiana","Native Hawaiian or Other Pacific Islander",0.000368973482114438,130.252084406816
"Indiana","White",0.856424308158191,297585.357319121
"Indiana","Hispanic",0.0398306200075264,15382.2562562563
"Indiana","Black",0.0757931299092915,27561.4452737371
"Indiana","Other",0.00828641881240341,3233.5440759859
"Indiana","Asian",0.0172865379011473,6424.00504216079
"Indiana","American Indian or Alaska Native",0.00201001172932645,778.479287671783
"Iowa","White",0.897056893706268,315150.419817254
"Iowa","Hispanic",0.0407226784836362,15787.6676
"Iowa","Black",0.028873643449223,10711.1584249327
"Iowa","Other",0.0090873007516264,3454.68075856931
"Iowa","Asian",0.021035711968392,7960.62549907974
"Iowa","American Indian or Alaska Native",0.00294000389623299,1121.91549203848
"Iowa","Native Hawaiian or Other Pacific Islander",0.000283767744621263,107.86850812542
"Kansas","White",0.823538334950403,228432.825155931
"Kansas","Hispanic",0.078154753575936,24582.2558276927
"Kansas","Black",0.049701701048865,14644.4218087534
"Kansas","Other",0.0175384305585598,5270.71390660113
"Kansas","Asian",0.0238168061256637,7577.82266198463
"Kansas","American Indian or Alaska Native",0.00699589908018065,2012.67505342009
"Kansas","Native Hawaiian or Other Pacific Islander",0.000254074660392355,89.3203486146166
"Kentucky","White",0.879954726654576,464778.018523003
"Kentucky","Asian",0.012721853773951,6778.77955815631
"Kentucky","Hispanic",0.0230559954969057,12260.3893492914
"Kentucky","Black",0.0722421683739569,38503.2426961637
"Kentucky","Other",0.0101565668068188,5325.02223750738
"Kentucky","American Indian or Alaska Native",0.00133825733329859,707.177561576544
"Kentucky","Native Hawaiian or Other Pacific Islander",0.000530431560493339,280.014984741858
"Louisiana","Black",0.283188966975608,155494.092828785
"Louisiana","White",0.64907739878137,348694.331626343
"Louisiana","Other",0.0103130344845518,5765.91838818472
"Louisiana","American Indian or Alaska Native",0.00415253881776725,2308.97676118851
"Louisiana","Hispanic",0.0382506715538155,21336.5183036607
"Louisiana","Asian",0.0148950401880692,8295.74893811016
"Louisiana","Native Hawaiian or Other Pacific Islander",0.000122349198817701,65.1498010574827
"Maine","White",0.959018236983733,148050.412219904
"Maine","Other",0.00876410344667567,1394.96413097284
"Maine","Hispanic",0.00990409917715231,1495.27464546173
"Maine","Black",0.00683840163675221,1157.45328408305
"Maine","Asian",0.00845668553059808,1404.41445074285
"Maine","American Indian or Alaska Native",0.00672603667084015,1057.48670038894
"Maine","Native Hawaiian or Other Pacific Islander",0.00029243655424845,37.782726492027
"Maryland","Black",0.279616455862927,186517.336946898
"Maryland","White",0.56102789622837,349800.307020423
"Maryland","Asian",0.0636915696928211,42396.1870977029
"Maryland","Other",0.0178009689995692,12293.1154438024
"Maryland","Hispanic",0.074976397906293,53185.6288644804
"Maryland","American Indian or Alaska Native",0.00262582235296815,1648.05405815395
"Maryland","Native Hawaiian or Other Pacific Islander",0.000260888957051029,197.962612144821
"Massachusetts","White",0.780448446156577,801747.302812626
"Massachusetts","Other",0.0129356712768382,15869.4245112582
"Massachusetts","Hispanic",0.0859335369255693,105821.421568627
"Massachusetts","Asian",0.058356976354259,70704.7322320472
"Massachusetts","Black",0.0597587776547875,68803.2809013709
"Massachusetts","American Indian or Alaska Native",0.00217949139332894,2053.67961239285
"Massachusetts","Native Hawaiian or Other Pacific Islander",0.000387100238639665,385.756400892672
"Michigan","White",0.805581780608427,1048778.34999459
"Michigan","Hispanic",0.0331203092423266,45111.976113258
"Michigan","Asian",0.0269593074462247,36035.581756013
"Michigan","Other",0.0142101537383078,19290.0670636774
"Michigan","Black",0.115412999667828,153839.922581788
"Michigan","American Indian or Alaska Native",0.00456985094828829,6426.99176233416
